id;nome;nazione;citta;indirizzo;latitudine;longitudine;prezzoMedio;takeAway;booking;tipoCucina;descrizione;servizi;recensioniIDs
265;Freddi;Bosnia and Herzegovina;Gornja Koprivna;93 Homewood Place;45.0084341;15.9561975;52;true;false;Indonesia;97721303519596252595216768558953134602548950827213401125882141694804734807469669 42188142517065417749583;69217044976681417484992953794525460297299770577437542049016060223328572076995318 15976450559266958502756;
266;Humfried;Guatemala;Gualán;5266 Continental Drive;15.113515;-89.362656;46;true;true;Russia;58132873033204391783844941695043399188995716192570566021573925427961543912695532 37097108388045045832182;65322636859485672324593417282666598946808261220516755281968399955273602470581079 64974977283788897404177;
267;Ashlan;Philippines;Matagbak;23021 Del Mar Circle;14.1305459;120.838467;51;false;false;Sweden;07491868996774064886230688361287349405044790843775878556432785550000823704728253 12952806998710305367181;13407884295016655434886209245400116777044859169164520806580925085508519053360809 79931957074565936866746;
268;Cyrus;Indonesia;Mandala;11 Blaine Place;-7.347756;108.8818859;69;false;true;China;86622657482563551180183582184927630235683871884866928797340714979852466582195268 52035218166629551068801;02869776575509277319535259589600910486044349725686926332113388890966844622752789 46146429401753082139300;
269;Terrell;Portugal;Covas da Raposa;93426 Maple Wood Hill;38.4600166;-9.1141307;62;false;true;Honduras;60028676849640880928332040114151032745588783191284715666372853030767501308861691 29759517449019610895889;70213468734332296994488657592174430005818655581041881327560515850699265193638864 36920763392837664747486;
270;Addi;Pakistan;Jand;9952 Summerview Court;33.4206358;72.0017338;19;true;true;Brazil;64675799424365014856916754110082792783975431418813705468132995956978927618172075 87515624983498573939965;71798087779044616716699036335509987556019427138002334521285384578585644336830792 67445963271696885801702;
271;Lulu;Bosnia and Herzegovina;Donja Mahala;55867 8th Alley;45.0783589;18.6758688;4;false;true;Cuba;18273779707123312091455059274373355056687000276245292587353161190020205917692194 06737734022204427027852;75144864857150241853965179085856971370787652298734448914680009646997026274207676 24290178605585279325590;
272;Hermie;Croatia;Bjelovar;142 Hoard Crossing;45.8987972;16.8423093;49;true;true;China;65885782842867031407237937889211981394841709662244716941489289863182082500690205 72683122486593899253051;34852440699583044574780986518205940648292762838178757941876782173738324139369643 13502516287818572787346;
273;Yvonne;China;Dongluqiao;713 Sloan Trail;28.5828673;121.3872734;97;true;false;United States;93485831384886774106937736620700229834796818391448455363654395970621068852421835 70485717276961337858737;73234789177072920982786242322003012427364973039021394011468598460813450732804421 00566276092404519645022;
274;Josh;China;Xiashan;0 Redwing Circle;21.192457;110.397656;15;true;true;Finland;06945016774608003035916612507550071002962775048254962806467979535098529920337413 51148136539848465275514;88541547392297912743046097086920203256343469082220113262451179783983387608960267 99579035636457394377621;
275;Zollie;Russia;Povenets;5 Haas Lane;62.8487;34.82621;52;true;false;Sweden;20969069063080438650285577256660836627944270637568299245315798215932615488869278 41381991253856846000538;12764135194865347996472607506131961660282671413974888350979762783942086006290126 04999765153069773139924;
276;Alfons;Poland;Strzelin;11 Fisk Court;50.7837134;17.0744196;64;true;true;Iceland;00644937611005913646717523895706088709712594413244508977335359997216389280315041 69092407786196343634086;57429843770108646722660665084869616591748167843909797426729935698973145608797385 91503569393955239432809;
277;Gabbi;Indonesia;Prioso Barat;086 Spohn Center;-8.665669;115.18124;75;true;true;Brazil;03666553721380643190062377202032422779134869341349832590917102540870362459430561 84291589154308307041559;62007349631947684475286519974790939820029258376150646153253209478201126033942549 33326396296897259985250;
278;Derron;Indonesia;Bagansiapiapi;8 Arizona Circle;2.157713;100.8162;27;false;false;Serbia;66658394324891178241528941530199545023029739569326885513839730826098482299896773 42837305831507133727455;95513789719537440041654333481417935530999115550354840104492578923653590112948429 26597337000486673157617;
279;Dorolice;Luxembourg;Boevange-sur-Attert;31 Waywood Street;49.7713426;6.0198003;17;true;true;Indonesia;86982074504077514163101444751592259207308005379732001573964671008061178407797552 96842858111734582256071;67480213628474934596622432840106202256776357648800381561147376117279757919391616 96008720241163731542885;
280;Tabor;Canada;Kamsack;5 Claremont Park;51.56668;-101.90093;92;false;true;Vietnam;39952324157443520840755597608198518005819255765346920588869405450221550691548573 57324937236250366621698;27684018928996973879571183073659941574964387397449231596470091111368400367902022 80871935704497955756461;
281;Toby;China;Jingzhou;2 Del Mar Point;30.335237;112.239631;82;true;false;Cameroon;04232425463175935461546716612407297086958024752066416056725965680732923198711313 37497800333226473915770;20018650511776444961016851616675043190793637181415449807589429052188044600493379 84956447692001390078120;
282;Maressa;Philippines;Sandayong Sur;4926 Cardinal Park;10.4818973;124.0211737;19;true;false;Indonesia;50137318867389755089224871130411189165931506944977062156858469946460741866140946 06759607653889748105147;91421634655227251457130565715548253952348504017141248224111798096302871139958741 69284953665905456017896;
283;Ase;Philippines;San Andres;49213 Marcy Lane;14.4693883;121.0059518;58;true;false;Ukraine;56840961578348173451006871066871575889230267814576782809187792468838755075434268 69729806535860481826330;03876884633100188089509367588238488553267648983491197671188961795264008146992932 70681368727685265615922;
284;Bale;Poland;Srokowo;011 Corry Lane;54.2139021;21.5226322;75;false;true;Indonesia;33199570303736465023913112659778646749880540690132673255846223148489501786866517 49473426398547465643004;14070468976593281208277298868506654196540210842120034278495442701988673340649838 66332734655780194695589;
285;Donny;Kazakhstan;Zhanaozen;20 Union Street;43.357629;52.8434912;17;true;true;Luxembourg;88866307898372304263588285994185382946420390261394962454379737183955552695884795 73701936807697418734958;69626191727922042330592393071132184439423495263282963477544653348972366024520883 14451305392186806844190;
286;Stevana;Dominican Republic;Cotuí;402 Brickson Park Circle;18.9337202;-70.4047314;10;true;true;China;69747199319117753825529993926208025146024684256289153725498671335901391027868527 31015200130768239647176;13355160621257001718408143020305091843205456256481225664897132913775870582628362 57511498283520026777301;
287;Leela;Russia;Ivanishchi;21808 Ruskin Center;55.7754263;40.4248943;15;true;false;Tanzania;83018607901849220463011553464118109495658314492132142655429770097760648048503524 57431008751414654960886;23865724760148011303718775741277105167124160315817244751343661341132638366067574 98354610319030677910369;
288;Hatti;France;Paris 17;280 Blaine Court;43.4945737;5.8978018;97;true;false;Philippines;30388246778779188931974791678679221081179488469606634569224634977156434972065621 65724956034807499459530;75420626720273744875111804183124493315192435019849532565514401369557826721183697 57505149588175853452765;
289;Rudyard;Indonesia;Sungailiat;179 Corscot Court;-1.877183;106.1149182;75;true;true;Norway;65730805111703904300029222639744875149586864628218254913755267784257460190041720 94353578225335793664350;06239238687042135273370224855977814990273007111106065294354301125802351761241622 96657080147497395914713;
290;Vanya;Colombia;Luruaco;1262 Roth Circle;10.60959;-75.142287;75;false;false;Indonesia;86293168685298011480920291576142463461272926405842354900132172508491607783991666 84116228060857139223455;38743202723846711014194549369477345111216701338928521039383267461770434364773061 57156218712554812979638;
291;Timmie;China;Chengcun;71141 Kropf Park;43.817071;125.323544;95;true;false;Russia;63054921803745927629649676780088190427425490144752847253397191333923753562654159 95583251047049729492453;03976675415324376607926438362041781238731867622603929518428691785861617873574933 80406863232460708237762;
292;Mathew;Poland;Zarszyn;064 Main Hill;49.5792067;21.9487589;49;false;true;Poland;72292912257315761458102008499045628875385946652198923598970003384830720990251243 65994294475253855266186;14342485565448575854297594305712971493005162243781252909252486579658874389043253 64111381935001706850463;
293;Wenonah;China;Maxu;7 Coleman Place;33.366735;117.541917;99;true;false;China;31549534957765427004241975099773774368976147432378295687124140667430445697398298 56008571315314271864469;12009506746164086868622909601738789607072283157743449158120858768235963346871671 72082097305999839157671;
294;Sophey;Sweden;Kista;7 Granby Lane;59.4135021;17.9194345;97;false;false;Mexico;81913128095978195333387407442146292091884234221940012869329591852758742953642028 13172520027339803542442;10228266101360575230749646716730510809774918812051568698577702632969493864603338 48060577261927334851385;
295;Giorgi;China;Huangbu;119 Kingsford Trail;23.124134;115.138892;41;true;false;China;43780925561171419682709598390771589233449179993643585578158581558499077470150353 07811772446961575366410;51568792540029034746881152951210066113032767968677951704808853053717126182639166 57941988943043265277228;
296;Brok;Russia;Irbit;7 Vahlen Terrace;57.6680135;63.0632053;26;true;false;Czech Republic;52238160364102498616139526232431918271088879466487306871870446111862850547348009 53798103936548916242076;94097624601638522674254819957918797765462188552308082365953200115123173487274114 45979706209333442309025;
297;Hewett;Indonesia;Tambaksumur;952 Spenser Pass;-7.3468093;112.7792692;61;true;false;Brazil;44017870769983181346093560745544261757345784909918800810336549405996491913848154 85866315068690049815185;61234397728684786201929578098114634476984947447997902728101535000382753390447085 87617611356880117705230;
298;Else;Poland;Jadowniki;20 Briar Crest Court;49.9592267;20.6436082;10;false;true;Palestinian Territory;37604067861587364361326825659069537785475342885457929032538515767687604201281135 27691466110114664521482;88718752519100977797899210087698558243297594601030768240685383519865557134316113 80432353047151423247745;
299;Tarah;Albania;Shirgjan;7 Clove Park;41.0522859;20.0524105;24;true;false;China;13446337583819192246269620722893760315559535241406991125589985606796700389041672 60193791348241112243405;57149112355190760914758327931781544053200083883144711386219615271639062585104740 28986393353134876510369;
300;Loria;Indonesia;Pataha;97351 Lukken Place;-6.2366306;106.7997862;23;false;true;Mongolia;94528631230955173725708450569237625856179834804779365597286819751144448979008119 27136577329811479647246;97944374450299002275014810195092906307626399711332702665845313177037406226791319 55352008220781683114290;
301;Trista;China;Longtou;8 Crowley Court;21.356694;110.525677;90;false;true;Poland;80772957271561980709927507548319542658707735073584941238049943855992828617307572 83025569489080472890019;55125775711673878037023342198604799513073526745573441834195496855905738983776430 90425308000373384409450;
302;Tammie;Kyrgyzstan;Osh;2239 Hanson Alley;40.5139985;72.8160976;49;true;true;South Africa;02688649108843186224450000894422719000495644611127018902548208440677541548208189 54619071278839805155492;43250732749786416570038161042784004856512596404223531358562212466529732914679501 95168358268767251766278;
303;Rene;China;Xinghuo;45572 Main Drive;40.2023282;116.2398367;54;false;true;China;27608242830707805717050549512157718904470079711930558428245546227123241432003682 53093509992240566726354;00278948893071002476643928223471852763227878246506646075380979570412422989710869 98219407914345250227259;
304;Linnell;Russia;Serov;72 Twin Pines Pass;59.1389119;37.9366941;35;false;true;Ireland;33027560121089675229718850964513803444320954017799032750449678451913114210260510 38388821094529754835958;34989338196042487900246909935745247499472354619909263883661047871207437297008341 32348889876457282182406;
305;Tony;China;Xinjian;24 Sunbrook Center;42.5246357;87.5395855;58;false;true;Ireland;03436640002730285060042119554945672314391488381522110016459299126295281646714791 80807669859588516880757;20287256445734875271610206504833266780523261040168660056959406629493524195516387 30917441305525799943498;
306;Larina;Mexico;Roma;5010 Washington Pass;19.4095846;-99.1575732;45;true;false;Czech Republic;87669221408166740349890215318729036454033398723022615988043375173698583078192649 55680536731596490431395;42087469828448324547643938881212804326756793307160115564693575392625255788927903 47943134171490705346570;
307;Clem;New Zealand;Mangere;4255 Coolidge Junction;-36.9518016;174.8398349;31;true;true;China;69970915205746977680972348894194006088268746872305629721691822560454108849598554 49812388241547381593912;75855457770314664040477143043694655600550359988250240799739676834189877983420186 07434989746250395068103;
308;Enoch;China;Baini;0929 7th Trail;23.063746;112.836668;57;true;true;Canada;81823022682642979814186769069592678311548544936587091875213216813669785185927849 12428900181681238096714;22246086086667510218686483001056648943033401803727173205400848463520579358774865 13580068814479319669610;
309;Andeee;China;Tuopu Luke;3 Prairie Rose Parkway;41.0233069;80.2697382;45;false;true;Malawi;31311957682082321640236438517444415197638312503969518032047079483255993011401057 99664768889618313574732;83779510492007883119186659982264123569542774118451082554850323995539600141044409 27666648843812741014761;
310;Karole;United States;Pinellas Park;2 Ridgeway Terrace;27.8436202;-82.7036033;16;true;false;Philippines;12916652976147404105076048154852487746005184490396139006082886081544888726490154 10626814233706660835254;46759779550595597783362614035585581598848813556260655518595263995529844586203644 98657527718543964203292;
311;Ethelin;China;Yangzhuang;46333 Hauk Park;22.9550072;113.0126011;40;false;false;Poland;94658948885253197741541940247840410318906184412319375499991576329159168577700247 33139499017455621236659;11804025030810416065107591386524191392090186773248361848936297191814337136158473 42928644234859398427676;
312;Teodorico;Comoros;Moroni;3 Del Sol Parkway;-11.7172157;43.2473146;66;true;false;Canada;06048422259349597033088109571765189757629395822096011560057719387721619215933034 04150546647126231660035;71892633207978864935483037531892947458029847327150296971473440326195395492765581 32598914741927989047361;
313;Lexy;Bangladesh;Chhāgalnāiya;4 Eagan Alley;23.0386278;91.5184418;40;false;false;Brazil;30999358190768838272764366701091819093638945149577159658628149455281585984916165 95244361958427806264824;35359739326270430439865228553017838958323523863896685244431538481450796260662189 32050279813224892926919;
314;Monro;Gambia;Koina;41 Rieder Way;13.4760557;-13.8651056;62;true;true;Japan;98575696582708088149293227082251719992047130791873440573896610103119832662070976 90834951740356665785463;74405911016236691077918902933872405404530383781142918174534985136100591260264207 10252727066137506247577;
315;Nellie;Peru;Carabayllo;562 Crownhardt Trail;-11.792902;-76.9873477;91;false;false;Russia;69217755866667705616480266143808230882018667816510903624505657540884913183712808 30350534720852751313226;95495646346498930146273462638369126204905588868973836077648164443853779150460147 83008828827815828117968;
316;Angelle;Philippines;Magdalena;4 Superior Center;14.453071;121.030984;36;false;true;Indonesia;24276402886618810752867843116202095732809465828893623019957755403808855317119040 99654810262048455112401;69695165104033415928063212077654792291561382723993210185308990600895951602045090 61392751134399909853026;
317;Rickey;United States;Gatesville;94683 Kings Center;31.4805866;-97.7347956;44;true;false;Indonesia;96109877927616175849258643543670318009440442431953228359286757060051970984490264 82690512619412493674378;46199987366547952985653914499298445066264528331483917195236814075179243248518557 61143538434360580692676;
318;Barbette;Mexico;Buenos Aires;07006 Jenifer Park;19.4052965;-99.1504583;100;false;false;Brunei;70496737150168498657386836593374670963082924062164252171126413100105316367332773 28005664492474064660411;59061765760173957315489556825029734449212241310213098509904906804354545137366555 48533761895527183614781;
319;Annelise;Russia;Sernovodsk;3 Bobwhite Hill;43.336168;45.168817;23;true;false;China;14308576999625223492275130519190082933014117330868021220018208150459302896876899 37636448487088633825198;78749155713500125105930292393067268074372659110605193872262655017239201105669725 30750661587354567791413;
320;Britney;Portugal;Montinho;96622 Cottonwood Lane;41.1241415;-8.2082378;33;true;true;Philippines;00144765849073788210329867990804965528409802502649519002749650629588321956649870 88118536407719441266331;77234016356247230598510884334884214199584582775424995195957148753214636084044232 36317917884987770074449;
321;Hewie;Malaysia;Kuantan;1760 Laurel Circle;3.9671435;103.40391;21;false;true;China;97904536476571119865966251959207392116187393723647004136284225566598618899287201 32465124948106298676402;78131320829817325423272352740274572316174540855024785527650885443192856377912915 99075560138432343473530;
322;Agretha;Sweden;Halmstad;19880 Brickson Park Way;56.658933;12.87013;83;true;true;Brazil;70910671754530571883999892280570865711303099480207628224951746476067377593551730 91423350981274501306968;15924987194027595207729443858493257796586999876687440450797561612381350284476669 80189026379462062921626;
323;Jobina;China;Guanyinge;85351 Granby Road;23.401553;114.59862;12;false;true;France;80286965894207003805973919097105732352048318531958071789919159706112120970722428 11724128982581116389245;32258752253836535819883043608732638859010774590707478121104171896735154142769012 73143223447389825159578;
324;Birk;China;Nanmuping;10774 Esker Court;26.567944;106.714374;77;false;true;Brazil;24879067975472525094445427913240000460740677936763864342750556430005581992881115 06664368482875138548146;49741610013354559145131691649226960991254023150270444463852570198779129225774481 20225254961371695918418;
325;Melamie;Brazil;Água Preta;77 Montana Park;-8.7393595;-35.4562795;13;false;true;Colombia;58594688298173604734271364356095212149228807877950248810116876030333712947861142 17976986634360038182266;29739900374600950914721871771446879840722548670760356696641189759398163212990114 82090633825775952349378;
326;Emalee;Indonesia;Puncakwangi;320 Dayton Avenue;-7.2953035;107.0716609;69;false;false;Portugal;36903973248977649996761643508756602607661590632796464322194500529556202087220327 67817560176257438185161;67486422423758706984624562685450145656379758886604794104973187463779665067043220 01565547683997909974006;
327;Dasi;Peru;Lacabamba;24 Fordem Hill;-8.2614583;-77.8988897;38;false;true;Russia;48069343903674073532006879900417582214903791044877957210924151775343414861093900 27361475188133895213073;36828730013980385743101421298548748131779067294371497642227131031931839740414156 53514635985400647644249;
328;Gerome;Indonesia;Hadakewa;7998 Bunting Trail;-8.3848454;123.5560069;47;false;true;China;96362017498330993791160167677222603293714174400121392455159923131507403120214653 14783474721207512337226;81968025566771215032109308875696347194031229603352145913916521186645394422214649 32635165968609818600544;
329;Stavro;Macedonia;Sredno Konjare;317 Pankratz Circle;41.9562157;21.7152906;35;true;true;China;45113215451348512472485355730736384458304450806114066715549151475494304829183849 93150982301305927516574;75545495353336815480887216339010764503706837453444838970700440797510805075108898 33988954864478717225590;
330;Leighton;Bhutan;Mongar;7 Twin Pines Pass;27.2753739;91.2397775;61;true;true;France;03681020402647627852010312839037592685465885154916587869290994713492361294218819 91682754345623630442553;90114171564336375106512544989085128963941848145989566501335409004592872636173245 07522899282632342977882;
331;Garvy;China;Jiaokou;32226 Melody Point;36.982186;111.18115;11;true;false;Ghana;45650548312419255040515035417554250625606101091003547257684614072609791684330594 98711883302164799262867;69232154163466880433448561496118581168420342692592562995360968511535557775727337 20823466394179339799897;
332;Kamila;China;Situ;47 Dovetail Junction;32.8892572;119.6430298;45;false;true;China;73074561799020133138156840393698232526046925123657141094936258465136895608802321 75514264880646045599323;52145824200040303980616304706004337158255368257587931507627300822301321544870251 73820276580190737155827;
333;Cinderella;Russia;Mama;8713 Becker Terrace;58.3104915;112.8975082;26;true;true;Poland;77669266605007174305226745628753357284877906953216892248167982307931279299279827 59565083362410434227253;01127245826993064098660725677803343188094551068322160712686287382535215300900353 61922542222876640904525;
334;Ethyl;Poland;Jabłonka;676 Kennedy Center;49.494604;19.7094323;27;false;false;Brazil;68676945021421249602647006910071030350716689581108585373606797224721660689472183 01513186304365459661341;51709152347081977417613637244908297499982285176064895223486384874202371695103181 43549704990727739784640;
335;Urban;Netherlands;Rotterdam;9849 Crescent Oaks Point;51.897904;4.473358;63;false;false;Iran;69285603994299649466124618300392004055245702942841051328952134236499954726959962 69964496777684139692097;02163483735820675843517877660711822719691413050720554112450094229224743679720442 88325355721795970024388;
336;Heall;Indonesia;Kadukaung;01 Melody Place;-6.2468515;106.105204;30;true;true;Indonesia;98816673996663144801185486910928749007751895704753933852015151508263365044941620 90659400147366112319047;66565723745542913271908727265389444327371131306155299477882082214818559499586178 33268168172675773937712;
337;Winthrop;China;Xuefeng;287 Nevada Avenue;29.300814;120.070387;4;false;false;Russia;86841330277470089932487417434164940713777619053329185390303509563327217658864795 63931900492296317915221;89291743306163392369930131230657241516742220566486304237808990486961321975729662 40576739760336839947241;
338;Rose;Indonesia;Daja Lorong;46489 Westport Plaza;-6.931773;113.600427;54;true;false;Sweden;47891742907010898091902888027611789313020302811848673900279846934347637602687355 61612431006383896154072;34495868538963788251410192756573882430656256423004240617568031079091686328174840 90229324476970239213990;
339;Haily;Brazil;Pimenta Bueno;350 Elka Plaza;-11.6723638;-61.1984811;98;false;false;China;87288110487985905958110097197341849938109728913658623701643405540484229907400263 38154332884590100598168;16207063365205680203051986770610445116857348609094031325583439681176061627407719 03678108862601520970107;
340;Cesya;China;Dongpu;36750 Lindbergh Street;23.113478;113.417068;47;false;false;Panama;38812955708800470875632680031111248877852002826915269944517508587604822098513291 26985781067396426733248;41180729454708029258801392493857475999758738509035087689049148513017443367140722 06566600928423237556514;
341;Illa;France;Brétigny-sur-Orge;5 Fair Oaks Center;48.6066876;2.3023878;69;true;false;Dominican Republic;32329858416412425733985021479901250094793258046008856908710142809727911910668045 65646966477379015275782;89073559640519392604955217835863039283434732623412095913498406436070826550334487 79950661401849474066419;
342;Forbes;Indonesia;Tutup;89804 Barby Hill;-6.9789789;111.3888358;57;true;false;Philippines;62055143300847709357929765887961183020086181010076822683863121742960906079502337 79415986395571566475388;37232543567126311271228259015082635109389588474804438049698066155876910721255649 03475392760883777362609;
343;Cammi;Paraguay;Caazapá;44360 Maryland Lane;-26.1827713;-56.3712327;91;true;false;Brazil;18055580491571239598075916462354795586693926719608491827225355895700651981039243 58316424946184645988352;65736993822987256149491768329374201068449209577288946172666531465143229330627884 15415767906194681819503;
344;Gabrila;Portugal;Pereiro;63674 Eastwood Center;42.0480121;-8.3359459;39;true;true;El Salvador;92348100758551015742575532257293559376170302463988423421564432472420911839190514 87894424215976919376607;80543318274277231611835586600404074515632061818859682631204365930364456880626896 73757942047953899554853;
345;Dav;Russia;Pryazha;115 Brickson Park Parkway;61.6972353;33.6201069;54;false;false;Tajikistan;42777526935767123129884609141063845303702636077130295736880454307086560159059676 61478662877072851543179;77211624906644175221099874761839364431378704142556547325202265576581061938805782 95150432732382979695276;
346;Brittne;Poland;Koszyce Wielkie;04 Golf Course Park;49.9776657;20.9421091;34;true;true;Czech Republic;03456895857622274374211412910032525780411617100807144077762276447729212484416043 26311700911277086676649;70020839419624885599246778343863281162856853399041163579288480984754776962071655 61586009234375642934116;
347;Anatola;Vietnam;Tiên Lãng;1 Waywood Drive;20.72404;106.5535966;100;false;false;Democratic Republic of the Congo;56638664381425205035848018272464904402055168549445492483994660915216853998925345 60877394342434419560354;50015585745420868664219561228602437244266180288880086492045850716453915340161719 89262110894675376921224;
348;Ev;Philippines;Bagumbayan;27 Clemons Place;14.5919106;121.0228804;28;true;false;Portugal;45338361389002835380851513694180302727218076818803895314034705253055830117978061 44047158110742527577424;62826029525014990966450854275192252660027185009749305884353933541143440796933505 89958929490943196628138;
349;Kerri;Croatia;Donja Brela;3479 Sage Lane;43.4088284;16.9139651;81;true;false;China;01808649670215342593880024811117723960674206913394406402011643750740478958523469 35500718497371332386303;17791297503015022608990263303690835272480767769170807966481975243155343188863416 26078827629727242062336;
350;Burty;Portugal;Quintã;9646 Spohn Crossing;41.5464241;-8.2915385;67;true;false;China;61629287061153543067565818839296685127414305614467854396769012174213125226965962 13968683120965927135949;49107633231801162289572509280060338307828827680159787300905557612953801084783776 13321384959936059731956;
351;Leon;China;Sanban;10530 Northfield Parkway;25.448371;118.296139;27;false;false;Serbia;75108291218062425262437816440456130389835494466892833432072144369214635850580839 19316488861937963951588;66989040308681335276356506323465260485379029406482751714776643516896003406910352 14883161114970971620172;
352;Chrystal;China;Qiaotou;9842 Reindahl Hill;28.168408;120.482198;58;true;true;Kenya;87962777269703247662671203914718085889202225255921111949308591587690163176496084 72360307911141084877265;18313752451302422861715264484431313906616819612610767322772950480988532697208789 28160822544252256534284;
353;Myrle;Guatemala;Cajolá;26 Kinsman Crossing;14.8378259;-91.5202968;74;true;false;France;03607021495259271748041785372879743958919105491266648526917886014706199639506860 12445786995605270355353;53514621401232839799517142940138857592371542103796624169716806128527798524507511 45772062461819371562160;
354;Frasco;China;Lianhua;90 American Ash Pass;27.127669;113.961465;41;true;true;France;10656020040808525969621416452680677721981738993485692764249372213029389538520405 12490404549356086754095;53385252416871122219072196777371757384253640465963505179772360798369042028364464 18269101929286302114949;
355;Margarita;Russia;Shchukino;03693 Briar Crest Alley;55.7942138;37.4827996;62;true;false;Ireland;79672028881318142697194013763449201129042209920703177734046096574922390078018511 67208541517882194151284;53686469125579907706050835259500096175509225132232453630441168991243866839244930 94420738603672114874038;
356;Edgardo;Finland;Porvoo;85442 Emmet Hill;60.4197445;25.5652484;41;true;true;Brazil;51785824448912603979886707039869036300531499778739687619732916959408540158480256 54390003267178533079324;10236166663817586990100228493787910665324036311937522840989996181973969079207885 42537065929328411536179;
357;Everett;India;Agraharam;2809 Petterle Place;10.998264;77.0324649;69;false;false;Brazil;11393375827740586992804868279388317352199805475398626188791700182963501447493642 47385482169219069097877;91695447753716863094774274848708825811872415153554131294900327926719874291050791 38303055853716207252379;
358;Hinze;Russia;Kuzovatovo;7 Kipling Court;53.5460327;47.6885743;17;false;false;Russia;39105500755678373873817216126590748255591857742520779491490090694007133010427132 53519349515454184944908;37594984384621628467378065316106924082412915186706741911629100487431512957103085 87707984355674510888756;
359;Vanny;Philippines;Estancia;1208 Kingsford Park;11.4693878;123.1476046;67;false;true;Czech Republic;63143102303272117976504412632428403475886750672235116347616663912534884263559568 48672983049675043337588;36623146498247359820727859176209126609497940620544164350085442279939217622872171 40094128171274640296167;
360;Indira;China;Huya;541 Lakewood Gardens Avenue;32.9454027;-117.2399868;47;true;false;Russia;97415047767267490417127326625879811305522038236477690992019373709053833000893994 30920859596529817442611;76303418629803409043802458251557410764661631233509982525201120503897136391184245 93775705825446830958536;
361;Marsiella;Russia;Borisovka;07 Valley Edge Road;51.6715177;35.4505878;42;false;true;China;84840581126623975553476322377856086308063217379761647565431783322203412653405868 11253640120953381998281;71643968626479420615638992273169619268922126250272487951815514805035562992599250 29699671639166228543215;
362;Carlynne;Ireland;Oranmore;46 Oneill Hill;54.1433253;-9.7359765;46;false;true;Malaysia;47835050332574144399180452471803683125154869686223975532205728979554985929027197 15078213080296453937065;27374376170076401480917621666640096460642062062114457281122213457094444574885557 59266856085564143756601;
363;Bonita;Zimbabwe;Chakari;6045 Myrtle Circle;-18.0785916;29.8554841;70;false;true;Indonesia;76662004137610938559527988991108637287361305652017485246181405506492505511267903 14994868442142154302768;80918629126013039111187141078985286159884631280818238402144355231135983073155320 47154294653149050252567;
364;Milo;Indonesia;Sungaipuntik;46463 Schmedeman Drive;-3.2690585;114.6204667;14;false;true;Russia;30949077623786325512743417888936459563033269030200315921429459141246879573967319 74487047917680801956725;46039954144040511007895965196318026479790340972915455825472137007782744958457235 82064320372721123809851;
365;Kakalina;Sweden;Tranås;98592 Vidon Junction;58.0362353;14.976908;6;true;false;Malaysia;42247471210737028481928626628301778542977679581366160005087537105766881093075553 84707693460621361891519;31266672308468921717025277816929261997522648160837490363600012903120045185767501 63986912162019125039273;
366;Noach;Saint Kitts and Nevis;Basseterre;2 Heath Road;17.3026058;-62.7176924;1;false;false;Indonesia;25196025578543624466282547933861430107821562904687490307741512821759651929491924 72089853344945748985369;08234870306388566108173813658106055417540613900874264947298533448715279689193062 82763848686284278915990;
367;Bary;Kyrgyzstan;Tash-Kumyr;35 Melody Road;41.3373738;72.2186128;95;false;true;China;40441849041586231378196823914656173347452263297747028963605412940528268511937313 10543877019796985146693;36562233365470226608196312857215890102473847406524476433202097957604866415648839 98538365454919423694267;
368;Carmencita;Netherlands;Dordrecht;898 Crownhardt Street;51.7783026;4.693265;16;false;true;Ukraine;69098391440955654006816182276766016622628620567845430855112001891988279004934344 07707136520705165463079;70461347203106642282631931211408375684318096450333545885152485303076175795332236 12961276457648973507180;
369;Farah;China;Jingchuan Chengguanzhen;76 Sycamore Street;35.343194;107.367016;34;true;true;Philippines;29017933774135778491092752796014527687319564441890821953161624291735085767300914 44687528186890979467098;56557820745255467245579750457507062374053666349605038570791801447901491018164166 05954248367616808658588;
370;Sonnie;Indonesia;Simabur;158 Chinook Parkway;-0.4589199;100.5099262;60;true;true;Indonesia;26072192756459060764459895858492921196494654217357499259677664257261675985429814 06770934488106514259192;82802442418446079584472836043578625139962814704728868702276213416701856443306767 07186653486381328146454;
371;Jane;Indonesia;Jelat;38 Dahle Parkway;-7.2816099;108.3771645;58;true;false;Jamaica;00900100133919961646778136774532000283181571261782698957666922365346392153921082 60825970642402843048360;46062529287528838156345642361583744714790264523383209997688397336173644095207518 40769278290337826729603;
372;Agnola;Japan;Wakuya;46 Luster Center;38.5503082;141.1382005;3;false;true;China;34661828297144556564646633467499840308490993455269897769104202687066674184926649 98060749896951305194346;50226920680051849674496411038177029110518433474576629947986261358247808768565529 44034939055946364703545;
373;Avictor;Poland;Gorzyce;678 Kensington Terrace;52.8818616;17.5860395;31;true;true;China;87291497460869844528748663473003865076610751589781462139048034569723002835554462 49016616894206722458475;80253197163748941238457913034596950471116273605574290330417177948711205961157628 74915514392040843058171;
374;Hughie;Tanzania;Katoro;04 Spohn Drive;-3.0040574;31.9274003;31;false;false;Japan;59616691493468754926576334714588706420864201429160743404311060857798903854768206 37124878222134983213281;06392048561011423636890372290957301483592591856886032342060221126938044188233631 12720677915537712419790;
